,coordinate,displacement,load,new_coordinate
0,0,0.0,-20.137753923258142,0.0
1,5,1.1187641068476746,0.0,6.118764106847674
2,6,1.3673783528138246,-15.0,7.367378352813825
3,7,1.6927279261773258,0.0,8.692727926177326
4,9,3.759654627545452,10.0,12.759654627545451
5,10,4.22516858908727,10.0,14.22516858908727
6,14,4.543858145366388,0.0,18.54385814536639
7,17,4.989086201932804,50.0,21.989086201932803
8,19,4.464841900026912,-15.0,23.46484190002691
9,21,4.188977371183276,-5.0,25.188977371183277
10,22,4.065125320543762,0.0,26.065125320543764
11,23,3.949014023069215,0.0,26.949014023069214
12,32,2.3753644384730213,0.0,34.37536443847302
13,34,2.1276603371939897,0.0,36.12766033719399
14,35,1.852433557995067,-35.0,36.85243355799507
15,36,2.767786009052257,0.0,38.76778600905226
16,39,3.697220805510326,0.0,42.69722080551033
17,40,3.8370663188662855,0.0,43.837066318866285
18,41,4.0384438580988675,30.0,45.038443858098866
19,42,3.9471267647957036,0.0,45.947126764795705
20,45,3.188492451200182,35.0,48.18849245120018
21,46,2.7486665092713416,20.0,48.748666509271345
22,47,2.3482822742297262,0.0,49.348282274229724
23,48,1.365520970036669,0.0,49.36552097003667
24,50,0.0,-64.86224607674178,50.0
