FFT: Time - Frequency (Hz),FFT: Acceleration 2 - FFT,FFT 2: Acceleration 1 - FFT
0,0.00382642,0.08711983
0.01953125,0.08499281,0.087437617
0.0390625,0.101003013,0.071253902
0.05859375,0.054470332,0.034130293
0.078125,0.006552163,0.004474959
0.09765625,0.006716054,0.004228714
0.1171875,0.001126917,0.001048671
0.13671875,0.000480959,0.001237827
0.15625,0.001966856,0.001458012
0.17578125,0.001437994,0.002547198
0.1953125,0.002859885,0.003211196
0.21484375,0.001242026,0.001624478
0.234375,0.005210911,0.005149447
0.25390625,0.005892533,0.004825874
0.2734375,0.005794213,0.006398356
0.29296875,0.005142242,0.005440905
0.3125,0.012663781,0.014395365
0.33203125,0.008428133,0.006491353
0.3515625,0.021003127,0.0200175
0.37109375,0.030694984,0.031421981
0.390625,0.035091644,0.031319801
0.41015625,0.06161518,0.06609076
0.4296875,0.076142714,0.083167924
0.44921875,0.227182449,0.245259259
0.46875,0.317543643,0.316663074
0.48828125,2.034495155,2.02764602
0.5078125,5.590701425,5.638480576
0.52734375,8.867639462,8.967767273
0.546875,9.354020262,9.456893645
0.56640625,6.654686892,6.705206657
0.5859375,2.917478175,2.904771646
0.60546875,0.548231982,0.520862451
0.625,0.233030018,0.254255516
0.64453125,0.062113868,0.065227899
0.6640625,0.074662634,0.09403218
0.68359375,0.0444361,0.042545374
0.703125,0.035088265,0.027716492
0.72265625,0.020786403,0.010031331
0.7421875,0.026925807,0.019624355
0.76171875,0.015796426,0.012645666
0.78125,0.016355605,0.011195548
0.80078125,0.01507919,0.002958324
0.8203125,0.012437247,0.019472611
0.83984375,0.050888331,0.027882677
0.859375,0.051330138,0.04323341
0.87890625,0.320746461,0.330242347
0.8984375,1.100873589,1.114617343
0.91796875,1.926355322,1.943155633
0.9375,2.171244611,2.184877255
0.95703125,1.634161438,1.640568366
0.9765625,0.773172702,0.759051191
0.99609375,0.182309079,0.133279651
1.015625,0.010962108,0.098724912
1.03515625,0.046753587,0.157403427
1.0546875,0.114480378,0.211798263
1.07421875,0.19265958,0.278806804
1.09375,0.179685085,0.277812094
1.11328125,0.086559866,0.198622851
1.1328125,0.005235106,0.110588477
1.15234375,0.035267345,0.059490855
1.171875,0.024930464,0.02807986
1.19140625,0.00595986,0.03016971
