Time (s),Position 1 (m),Position 2 (m)
13.15,0.0972405,0.0848925
13.2,0.0859215,0.077518
13.25,0.073745,0.067914
13.3,0.061054,0.0567665
13.35,0.0440755,0.0437325
13.4,0.0262395,0.0289835
13.45,0.0080605,0.013377
13.5,-0.0097755,-0.0032585
13.55,-0.0269255,-0.019894
13.6,-0.0444185,-0.036701
13.65,-0.0584815,-0.0505925
13.7,-0.0704865,-0.0649985
13.75,-0.0800905,-0.077861
13.8,-0.0872935,-0.088494
13.85,-0.091581,-0.096726
13.9,-0.093639,-0.101871
13.95,-0.0931245,-0.1030715
14,-0.0903805,-0.101185
14.05,-0.085407,-0.096383
14.1,-0.0787185,-0.087808
14.15,-0.070315,-0.0763175
14.2,-0.0601965,-0.0622545
14.25,-0.049049,-0.0488775
14.3,-0.036701,-0.0310415
14.35,-0.0217805,-0.0128625
14.4,-0.0080605,0.006174
14.45,0.006174,0.02401
14.5,0.0204085,0.0409885
14.55,0.0343,0.056595
14.6,0.0475055,0.069972
14.65,0.0605395,0.0807765
14.7,0.071687,0.088494
14.75,0.0776895,0.093296
14.8,0.0852355,0.095697
14.85,0.0907235,0.0944965
14.9,0.093296,0.091238
14.95,0.092953,0.085064
15,0.089523,0.0770035
15.05,0.082663,0.066885
15.1,0.074431,0.0557375
15.15,0.065513,0.042875
15.2,0.0516215,0.029498
15.25,0.036015,0.015778
15.3,0.019208,0.0018865
15.35,0.0015435,-0.0118335
15.4,-0.0162925,-0.024696
15.45,-0.032928,-0.0375585
15.5,-0.0509355,-0.0468195
15.55,-0.0653415,-0.0571095
15.6,-0.077518,-0.065856
15.65,-0.087122,-0.0728875
15.7,-0.0938105,-0.078547
15.75,-0.0972405,-0.08232
15.8,-0.0975835,-0.083692
15.85,-0.0948395,-0.083349
15.9,-0.0890085,-0.0800905
15.95,-0.0807765,-0.075117
16,-0.070315,-0.0677425
16.05,-0.057967,-0.058653
16.1,-0.0444185,-0.0488775
16.15,-0.029841,-0.036015
16.2,-0.013377,-0.0214375
16.25,0.0018865,-0.0060025
16.3,0.0162925,0.01029
16.35,0.029498,0.026068
16.4,0.0416745,0.0416745
16.45,0.052479,0.0557375
16.5,0.0615685,0.0684285
16.55,0.068943,0.07889
16.6,0.072373,0.0866075
16.65,0.0752885,0.0920955
16.7,0.076832,0.093982
16.75,0.076489,0.0931245
16.8,0.074774,0.0890085
16.85,0.071687,0.0821485
16.9,0.068257,0.072716
16.95,0.0612255,0.060711
17,0.0526505,0.046991
17.05,0.042875,0.032242
17.1,0.0317275,0.0166355
17.15,0.0197225,0.000686
17.2,0.0066885,-0.015092
17.25,-0.00686,-0.029841
17.3,-0.0204085,-0.042875
17.35,-0.033614,-0.052136
17.4,-0.0481915,-0.0619115
17.45,-0.059682,-0.0694575
17.5,-0.0698005,-0.074431
17.55,-0.0780325,-0.077518
17.6,-0.084035,-0.077861
17.65,-0.0876365,-0.0763175
17.7,-0.0883225,-0.0728875
17.75,-0.0862645,-0.0677425
17.8,-0.080948,-0.0608825
17.85,-0.0735735,-0.052479
17.9,-0.0636265,-0.0454475
17.95,-0.0516215,-0.034986
18,-0.0379015,-0.024353
18.05,-0.0210945,-0.012691
18.1,-0.005488,-0.001372
18.15,0.01029,0.0104615
18.2,0.0255535,0.0221235
18.25,0.039788,0.0327565
18.3,0.0526505,0.0433895
18.35,0.063455,0.052822
18.4,0.0701435,0.061054
18.45,0.075117,0.067914
18.5,0.0783755,0.0732305
18.55,0.0790615,0.0766605
18.6,0.0776895,0.0773465
18.65,0.074431,0.076489
18.7,0.0708295,0.0728875
18.75,0.0625975,0.0673995
18.8,0.0533365,0.059682
18.85,0.042532,0.0499065
18.9,0.0313845,0.038073
18.95,0.019551,0.025039
19,0.0077175,0.010976
19.05,-0.0039445,-0.0039445
19.1,-0.015092,-0.0186935
19.15,-0.025725,-0.0330995
19.2,-0.0372155,-0.0464765
19.25,-0.0457905,-0.055566
19.3,-0.0533365,-0.0653415
19.35,-0.0598535,-0.073059
19.4,-0.0643125,-0.077861
19.45,-0.067914,-0.079919
19.5,-0.0698005,-0.079576
19.55,-0.0701435,-0.0766605
19.6,-0.0687715,-0.070658
19.65,-0.0656845,-0.0625975
19.7,-0.0608825,-0.053508
19.75,-0.0543655,-0.0444185
19.8,-0.0464765,-0.031899
19.85,-0.037044,-0.0193795
19.9,-0.0245245,-0.0063455
19.95,-0.012691,0.0063455
20,-0.0001715,0.018522
20.05,0.0128625,0.029498
20.1,0.025725,0.0392735
20.15,0.0379015,0.0478485
20.2,0.049735,0.0547085
20.25,0.0598535,0.059682
20.3,0.0680855,0.0632835
20.35,0.07203,0.0649985
20.4,0.0749455,0.0653415
20.45,0.075803,0.0639695
20.5,0.074774,0.061054
20.55,0.0715155,0.0571095
20.6,0.067228,0.05145
20.65,0.0584815,0.0451045
20.7,0.04802,0.03773
20.75,0.0361865,0.0289835
20.8,0.023324,0.019894
20.85,0.009947,0.0101185
20.9,-0.0036015,-0.000686
20.95,-0.0166355,-0.011319
21,-0.0282975,-0.0221235
21.05,-0.040817,-0.032242
21.1,-0.050078,-0.042189
21.15,-0.057624,-0.048706
21.2,-0.063112,-0.056252
21.25,-0.066542,-0.062083
21.3,-0.0680855,-0.0667135
21.35,-0.067571,-0.069286
21.4,-0.06517,-0.068943
21.45,-0.061397,-0.0667135
21.5,-0.0560805,-0.062083
21.55,-0.049735,-0.055566
21.6,-0.0423605,-0.047334
21.65,-0.0341285,-0.039102
21.7,-0.023667,-0.0272685
21.75,-0.014063,-0.0149205
21.8,-0.0046305,-0.0018865
21.85,0.0049735,0.0111475
21.9,0.0142345,0.023667
21.95,0.0231525,0.0355005
22,0.0317275,0.0454475
22.05,0.039445,0.0543655
22.1,0.0464765,0.061054
22.15,0.052479,0.065513
22.2,0.057281,0.0673995
22.25,0.060711,0.0677425
22.3,0.0625975,0.065513
22.35,0.0629405,0.061397
22.4,0.0612255,0.055566
22.45,0.0581385,0.04802
22.5,0.053165,0.039788
22.55,0.0468195,0.0303555
22.6,0.0385875,0.0204085
22.65,0.0289835,0.0108045
22.7,0.0183505,0.000686
22.75,0.00686,-0.008918
22.8,-0.0049735,-0.018179
22.85,-0.016807,-0.0265825
22.9,-0.0282975,-0.0337855
22.95,-0.040474,-0.040817
23,-0.049735,-0.0461335
23.05,-0.0574525,-0.0485345
23.1,-0.0632835,-0.05145
23.15,-0.066885,-0.0533365
23.2,-0.0684285,-0.053851
23.25,-0.067571,-0.0533365
23.3,-0.064484,-0.0516215
23.35,-0.058996,-0.0481915
23.4,-0.0523075,-0.045619
23.45,-0.0440755,-0.0403025
23.5,-0.0344715,-0.033614
23.55,-0.022295,-0.025725
23.6,-0.011662,-0.0173215
23.65,-0.000686,-0.0080605
23.7,0.009947,0.001715
23.75,0.019894,0.0118335
23.8,0.0286405,0.021609
23.85,0.036358,0.03087
23.9,0.042875,0.039788
23.95,0.047677,0.047677
24,0.0512785,0.0536795
24.05,0.0533365,0.05831
24.1,0.053851,0.0612255
24.15,0.053508,0.06174
24.2,0.05145,0.0605395
24.25,0.048363,0.0567665
24.3,0.0444185,0.05145
24.35,0.039445,0.04459
24.4,0.033614,0.035672
24.45,0.0272685,0.0262395
24.5,0.020237,0.015435
24.55,0.012691,0.0042875
24.6,0.004802,-0.0063455
24.65,-0.0032585,-0.01715
24.7,-0.011319,-0.027097
24.75,-0.019208,-0.0358435
24.8,-0.0269255,-0.0433895
24.85,-0.035672,-0.0488775
24.9,-0.0416745,-0.0529935
24.95,-0.0471625,-0.0533365
25,-0.0516215,-0.053851
25.05,-0.0547085,-0.052479
25.1,-0.0560805,-0.051793
25.15,-0.055909,-0.04802
25.2,-0.054194,-0.042875
25.25,-0.0505925,-0.037044
25.3,-0.045619,-0.030184
25.35,-0.0389305,-0.022981
25.4,-0.03087,-0.0159495
25.45,-0.019894,-0.008232
25.5,-0.009947,-0.000686
25.55,0.0005145,0.0066885
25.6,0.0111475,0.013377
25.65,0.021266,0.019894
25.7,0.0310415,0.0258965
25.75,0.039102,0.0310415
25.8,0.0461335,0.0361865
25.85,0.051107,0.0399595
25.9,0.054537,0.043218
25.95,0.0560805,0.0451045
26,0.055566,0.0461335
26.05,0.0533365,0.0457905
26.1,0.049392,0.04459
26.15,0.0440755,0.041846
26.2,0.0375585,0.038073
26.25,0.030184,0.032928
26.3,0.0221235,0.027097
26.35,0.0138915,0.019894
26.4,0.005488,0.0114905
26.45,-0.002744,0.002744
26.5,-0.0101185,-0.0066885
26.55,-0.0169785,-0.015778
26.6,-0.0231525,-0.024696
26.65,-0.028469,-0.032928
26.7,-0.034643,-0.039788
26.75,-0.0382445,-0.045962
26.8,-0.0406455,-0.0485345
26.85,-0.042189,-0.053165
26.9,-0.0430465,-0.052136
26.95,-0.043218,-0.05145
27,-0.0427035,-0.048363
27.05,-0.0416745,-0.0461335
27.1,-0.0396165,-0.040474
27.15,-0.036701,-0.0334425
27.2,-0.0327565,-0.0258965
27.25,-0.0262395,-0.0176645
27.3,-0.0200655,-0.008918
27.35,-0.0135485,-0.000686
27.4,-0.0063455,0.007546
27.45,0.001372,0.014749
27.5,0.0094325,0.0217805
27.55,0.017493,0.02744
27.6,0.025039,0.0317275
27.65,0.0320705,0.0355005
27.7,0.0382445,0.03773
27.75,0.043218,0.039102
27.8,0.0468195,0.039445
27.85,0.049049,0.0385875
27.9,0.049392,0.036701
27.95,0.04802,0.0344715
28,0.0451045,0.031556
28.05,0.040817,0.0279545
28.1,0.034986,0.02401
28.15,0.027783,0.019208
28.2,0.019894,0.0142345
28.25,0.011319,0.0087465
28.3,0.0025725,0.003087
28.35,-0.006174,-0.003087
28.4,-0.014406,-0.0094325
28.45,-0.021609,-0.0156065
