Time (s),Position 1 (m),Position 2 (m)
0.05,0.174244,0.158123
0.1,0.173901,0.152292
0.15,0.167727,0.1425165
0.2,0.1552075,0.127939
0.25,0.137543,0.112161
0.3,0.1133615,0.093639
0.35,0.090209,0.0732305
0.4,0.06517,0.0505925
0.45,0.0351575,0.026754
0.5,0.0042875,0.0018865
0.55,-0.026411,-0.0234955
0.6,-0.055566,-0.0468195
0.65,-0.0845495,-0.0698005
0.7,-0.108388,-0.092953
0.75,-0.128625,-0.1099315
0.8,-0.144403,-0.1274245
0.85,-0.155722,-0.1418305
0.9,-0.1620675,-0.1521205
0.95,-0.1630965,-0.1576085
1,-0.1600095,-0.158809
1.05,-0.1524635,-0.154693
1.1,-0.1411445,-0.146118
1.15,-0.126224,-0.132055
1.2,-0.1085595,-0.113876
1.25,-0.0883225,-0.0951825
1.3,-0.066542,-0.0698005
1.35,-0.0433895,-0.043904
1.4,-0.017836,-0.014063
1.45,0.0060025,0.0159495
1.5,0.029498,0.0454475
1.55,0.052136,0.073745
1.6,0.071344,0.09947
1.65,0.0896945,0.121765
1.7,0.1068445,0.1397725
1.75,0.1191925,0.1552075
1.8,0.1339415,0.1617245
1.85,0.1425165,0.1644685
1.9,0.147147,0.1627535
1.95,0.1476615,0.1576085
2,0.1442315,0.145775
2.05,0.136857,0.1281105
2.1,0.1246805,0.108731
2.15,0.109417,0.087122
2.2,0.090895,0.063455
2.25,0.0701435,0.038416
2.3,0.0475055,0.0128625
2.35,0.021266,-0.012348
2.4,-0.0063455,-0.036701
2.45,-0.0341285,-0.056938
2.5,-0.0629405,-0.0770035
2.55,-0.088494,-0.0951825
2.6,-0.111475,-0.1102745
2.65,-0.130683,-0.1195355
2.7,-0.146118,-0.128282
2.75,-0.157094,-0.13377
2.8,-0.1630965,-0.135828
2.85,-0.163611,-0.1339415
2.9,-0.1589805,-0.1291395
2.95,-0.149205,-0.1209075
3,-0.1349705,-0.110103
3.05,-0.1164485,-0.0986125
3.1,-0.094668,-0.081634
3.15,-0.070315,-0.062426
3.2,-0.0440755,-0.0430465
3.25,-0.015435,-0.0200655
3.3,0.011662,0.0039445
3.35,0.0375585,0.0286405
3.4,0.0615685,0.0526505
3.45,0.0807765,0.0756315
3.5,0.0992985,0.0968975
3.55,0.114219,0.1157625
3.6,0.1267385,0.1315405
3.65,0.1346275,0.145775
3.7,0.138229,0.153664
3.75,0.1380575,0.156408
3.8,0.134456,0.154693
3.85,0.127596,0.147833
3.9,0.1171345,0.1342845
3.95,0.1037575,0.1181635
4,0.0883225,0.0986125
4.05,0.07203,0.0756315
4.1,0.0550515,0.050078
4.15,0.0348145,0.023324
4.2,0.0135485,-0.0039445
4.25,-0.0077175,-0.0310415
4.3,-0.029155,-0.0547085
4.35,-0.0519645,-0.078204
4.4,-0.0718585,-0.098784
4.45,-0.0903805,-0.112847
4.5,-0.1068445,-0.1257095
4.55,-0.120736,-0.134456
4.6,-0.1315405,-0.1390865
4.65,-0.1390865,-0.138572
4.7,-0.1428595,-0.134113
4.75,-0.1425165,-0.125881
4.8,-0.1380575,-0.1140475
4.85,-0.1294825,-0.102557
4.9,-0.116963,-0.0855785
4.95,-0.1006705,-0.066199
5,-0.080948,-0.0485345
5.05,-0.0584815,-0.0272685
5.1,-0.0334425,-0.0056595
5.15,-0.0056595,0.015092
5.2,0.020923,0.035672
5.25,0.046648,0.05488
5.3,0.0691145,0.0722015
5.35,0.0900375,0.087808
5.4,0.108731,0.101528
5.45,0.124852,0.1126755
5.5,0.1359995,0.121079
5.55,0.1425165,0.1267385
5.6,0.14406,0.129311
5.65,0.1408015,0.1281105
5.7,0.133427,0.123823
5.75,0.1219365,0.11662
5.8,0.10633,0.105987
5.85,0.087808,0.0920955
5.9,0.0711725,0.0749455
5.95,0.049049,0.0557375
6,0.0262395,0.0341285
6.05,0.0032585,0.0114905
6.1,-0.0190365,-0.0121765
6.15,-0.040131,-0.036015
6.2,-0.061397,-0.0574525
6.25,-0.0787185,-0.07889
6.3,-0.0934675,-0.0982695
6.35,-0.1054725,-0.1113035
6.4,-0.114562,-0.1239945
6.45,-0.120736,-0.132398
6.5,-0.123823,-0.1370285
6.55,-0.1239945,-0.1363425
6.6,-0.121422,-0.1315405
6.65,-0.115934,-0.121765
6.7,-0.1075305,-0.111132
6.75,-0.096726,-0.094668
6.8,-0.083692,-0.074431
6.85,-0.0684285,-0.0526505
6.9,-0.0512785,-0.0310415
6.95,-0.0324135,-0.0070315
7,-0.010633,0.0169785
7.05,0.0101185,0.0392735
7.1,0.0310415,0.0605395
7.15,0.05145,0.079233
7.2,0.071001,0.094668
7.25,0.08575,0.107359
7.3,0.1013565,0.1164485
7.35,0.114905,0.121765
7.4,0.1243375,0.1239945
7.45,0.129997,0.1226225
7.5,0.132055,0.1181635
7.55,0.129311,0.110789
7.6,0.1226225,0.1006705
7.65,0.111818,0.088494
7.7,0.0962115,0.074088
7.75,0.078547,0.05831
7.8,0.0612255,0.040817
7.85,0.0385875,0.0228095
7.9,0.0149205,0.0046305
7.95,-0.009261,-0.0145775
8,-0.0327565,-0.0330995
8.05,-0.0567665,-0.048706
8.1,-0.0770035,-0.06517
8.15,-0.094325,-0.080262
8.2,-0.1085595,-0.0938105
8.25,-0.1191925,-0.104958
8.3,-0.125538,-0.110103
8.35,-0.128282,-0.115248
8.4,-0.1270815,-0.117306
8.45,-0.1222795,-0.1157625
8.5,-0.114219,-0.1106175
8.55,-0.1030715,-0.105644
8.6,-0.0893515,-0.0938105
8.65,-0.0735735,-0.078547
8.7,-0.056252,-0.0612255
8.75,-0.0379015,-0.043561
8.8,-0.01715,-0.0217805
8.85,0.001715,0.000686
8.9,0.020237,0.023667
8.95,0.03773,0.045276
9,0.0540225,0.0663705
9.05,0.068943,0.084721
9.1,0.079233,0.100499
9.15,0.0900375,0.11319
9.2,0.098441,0.121765
9.25,0.1051295,0.12691
9.3,0.108731,0.1274245
9.35,0.109417,0.1239945
9.4,0.107359,0.1167915
9.45,0.102214,0.1058155
9.5,0.0941535,0.091924
9.55,0.0835205,0.075117
9.6,0.0718585,0.056938
9.65,0.0588245,0.036701
9.7,0.0416745,0.016464
9.75,0.0231525,-0.004116
9.8,0.00343,-0.0238385
9.85,-0.0166355,-0.042189
9.9,-0.0361865,-0.056938
9.95,-0.057281,-0.071687
10,-0.075117,-0.0838635
10.05,-0.090895,-0.093982
10.1,-0.1041005,-0.100842
10.15,-0.114219,-0.104958
10.2,-0.1209075,-0.1065015
10.25,-0.1236515,-0.104958
10.3,-0.1226225,-0.101185
10.35,-0.1178205,-0.094668
10.4,-0.1092455,-0.0859215
10.45,-0.097069,-0.07546
10.5,-0.081977,-0.0625975
10.55,-0.0643125,-0.048706
10.6,-0.0447615,-0.035329
10.65,-0.022295,-0.0190365
10.7,-0.0005145,-0.001715
10.75,0.0204085,0.0156065
10.8,0.0403025,0.0327565
10.85,0.058653,0.049735
10.9,0.0725445,0.065513
10.95,0.0848925,0.079576
11,0.095697,0.091581
11.05,0.1034145,0.1013565
11.1,0.1071875,0.108388
11.15,0.1078735,0.112504
11.2,0.105301,0.1133615
11.25,0.09947,0.110446
11.3,0.090552,0.103929
11.35,0.080262,0.0941535
11.4,0.0715155,0.081634
11.45,0.0577955,0.065513
11.5,0.0433895,0.04802
11.55,0.027783,0.0282975
11.6,0.012005,0.0077175
11.65,-0.004116,-0.0135485
11.7,-0.019894,-0.033957
11.75,-0.034986,-0.0512785
11.8,-0.051107,-0.0686
11.85,-0.064141,-0.0835205
11.9,-0.075803,-0.095354
11.95,-0.08575,-0.1041005
12,-0.0938105,-0.108731
12.05,-0.09947,-0.110103
12.1,-0.1027285,-0.108731
12.15,-0.103243,-0.1030715
12.2,-0.101185,-0.0948395
12.25,-0.0962115,-0.083692
12.3,-0.0879795,-0.0701435
12.35,-0.077518,-0.0550515
12.4,-0.0646555,-0.0409885
12.45,-0.0495635,-0.0238385
12.5,-0.0327565,-0.0066885
12.55,-0.012691,0.0101185
12.6,0.006517,0.0262395
12.65,0.0255535,0.0409885
12.7,0.0440755,0.0543655
12.75,0.0615685,0.0663705
12.8,0.074774,0.0763175
12.85,0.0869505,0.0838635
12.9,0.0979265,0.0896945
12.95,0.1051295,0.093296
13,0.1085595,0.094325
13.05,0.108731,0.0934675
13.1,0.1047865,0.090552
